thalos_id,calories,protein,fat,carbs
106872,359,10.42,1.37,76.31
106873,148,2.94,3.7,25.67
106874,349,11.6,1.88,71.51
106875,354,12.32,1.78,72.2
106876,356,10.9,1.97,73.77
106877,343,7.02,1.75,74.68
106878,328,8.73,9.98,50.72
106879,355,12.53,2.7,70.26
106880,363,10.62,1.62,76.45
106881,145,5.06,4.22,21.61
106882,334,18.66,22.45,14.23
106883,215,9.45,5.51,31.89
106884,228,7.87,12.6,20.67
106885,142,3.49,2.57,26.28
106886,149,6.98,10.47,6.78
106887,516,10.7,27,57.6
106888,510,10.8,27,57
106889,129,2.73,6.83,14.42
106890,129,2.72,7.1,14.34
106891,500,12.9,26,53.5
106892,512,15.36,27.65,52.2
106893,501,12.5,25.6,55.6
106894,512,13.9,26,55.68
106895,66,1.97,3.34,7.21
106896,386,7.5,4.9,78.06
106897,353,3.4,31.8,13.4
106898,258,21.7,18.6,0.9
106899,20,3.8,0.5,0
106900,271,19,21.7,0
106901,117,18.4,3.9,2
106902,900,0,100,0
106903,52,0.84,1.07,9.84
106904,122,15,3.9,6.8
106905,41,3.8,0.7,4.8
106906,260,13.7,22.8,0
106907,83,17.1,1.6,0
106908,97,11.7,5.3,0
106909,44,3,0.8,6.3
106910,63,11.3,0.8,2.6
106911,312,60.4,6.6,2.8
106912,55,6.6,0.5,6
106913,135,0.99,0.29,32
106914,341,1.71,0.69,81.98
106915,25,1.18,0,5.14
106916,47,4.21,0.28,6.96
106917,129,1.64,0.32,29.99
106918,62,1.12,0.28,13.85
106919,162,1.6,0.34,38.22
106920,162,3.04,1.69,33.62
106921,137,22.9,5,0
106922,93,18.1,1.7,1.4
106923,102,17,3.3,1
106924,120,25.85,1.88,0
106925,390,9.06,7.16,72.22
106926,34,0.69,0.35,7.06
106927,32,1.42,0.54,5.38
106928,168,13.19,4.7,18.28
106929,323,12.31,18.9,25.96
106930,290,3.31,13.17,39.5
106931,143,5.01,4.34,21.08
106932,316,14.87,18.37,22.87
106933,296,19.25,16.15,18.36
106934,330,18.11,20.78,17.72
106935,196,31.02,7.83,0.47
106936,325,14.75,18.33,25.14
106937,195,29.8,8.48,0
106938,202,13.23,9.14,16.65
106939,157,12.56,9.79,4.57
106940,325,18.68,20.31,16.84
106941,120,0.79,7.09,13.17
106942,327,4.78,16,40.95
106943,295,19.17,14.5,22.03
106944,183,0.97,15.03,10.88
106945,234,13.75,12.16,17.41
106946,197,2.49,8.99,26.59
106947,159,0.88,11.78,12.35
106948,356,4.89,19.28,40.72
106949,157,12.56,9.79,4.57
106950,170,7.84,8.52,15.51
106951,191,10.48,11.06,12.36
106952,195,3.56,4.86,34.15
106953,144,7.3,5,17.52
106954,104,3.9,1.89,17.77
106955,394,16.87,25.5,24.25
106956,368,15.93,23.08,24.11
106957,156,7.96,6,17.62
106958,159,7.44,5.61,19.64
106959,154,7.07,5.7,18.5
106960,400,7.1,3.33,84.7
106961,371,11.43,2.86,81.5
106962,378,7.9,7.1,74.3
106963,47,0.3,0.1,11.4
106964,43,0.5,0.1,9.9
106965,54,0.2,0,13.41
106966,332,4.6,0.5,77.3
106967,469,5,18.2,71.4
106968,421,6.4,9.9,76.68
106969,406,8.7,3,85.98
106970,51,4.1,1.5,5.35
106971,271,24.7,17.6,3.5
